,checkpoint_id,zone_id,latitude,longitude,location_name
0,10,7,37.34990264592772,-121.93768635392188,Veterans Plaza
1,11,7,37.35017130386618,-121.9389496743679,Vari Hall - Westbound
2,12,7,37.35014571743727,-121.93897381424902,Admissions Center - Eastbound
3,13,7,37.349587078232474,-121.94113835692406,Mission
4,14,7,37.35057428897128,-121.94171771407127,Franklin St.
5,15,7,37.34830986840437,-121.94052681326866,Santa Clara St.
